"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"B11xP19N037","P19N037","88004754","ASY","Unit_2","29",15
"B11xP19N315","P19N315","278171877","SY","Unit_2","9",14080
"B11xP19N323","P19N323","278172410","ASY","Unit_4","95",28228
"B11xP19N428","P19N428","281128680","12","Unit_1","86",37936
"B12xL19N008e","L19N008e",NA,"6","Turkey_Hill","121",6879
"B12xP19N322","P19N322","281128654","SY","Unit_1","79",25017
"B12xP19N441","P19N441","281128443","12","Unit_2","54",27
"B1xP19N129","P19N129","281128702","SY","Unit_1","65",494
"B1xP19N373","P19N373","240150159","AHY","Unit_1","308",14837
"B2xP19N140","P19N140","278172147","ASY","Unit_2","101",849
"B2xP19N424","P19N424","281128523","AHY","Unit_1","319",27232
"B3xP19N147","P19N147","272107690","AHY","Unit_2","116",123
"B4xP19N156","P19N156","262125987","AHY","Unit_1","421",6449
"B5xP19N164","P19N164","278172237","AHY","Unit_1","335",12601
"B6xP19N181","P19N181","262125966","AHY","Unit_1","81",55701
"B7xP19N197","P19N197","278171873","SY","Unit_2","82",61871
"B8xP19N210","P19N210","278172238","AHY","Unit_1","360",73425
"B9xP19N255","P19N255","272107855","SY","Unit_2","62",48146
"C01xL19N010c","L19N010c",NA,"6","Unit_4","78",29173
"C01xP19N047","P19N047","278172154","SY","Unit_2","75",27829
"C01xP19N188","P19N188","281128718","12","Unit_2","35",41495
"C01xP19N296","P19N296","278172316","12","Unit_4","94",41777
"C01xP19N505","P19N505","281128779","12","Unit_2","50",10075
"C02xL19N012a","L19N012a",NA,"6","Unit_4","87",11009
"C02xL19N019d","L19N019d",NA,"6","Unit_4","84",30026
"C02xP19N055","P19N055","272107750","ASY","Unit_1","365",10245
"C02xP19N303","P19N303","278172431","12","Turkey_Hill","3",33402
"C02xP19N513","P19N513","281128775","15","Unit_2","112",235
"C03xL19N015b","L19N015b",NA,"6","Unit_4","93",24178
"C03xL19N020b","L19N020b",NA,"6","Unit_4","15",21113
"C03xP19N064","P19N064","278172155","SY","Unit_2","15",28587
"C03xP19N272","P19N272","278172304","12","Unit_2","94",2014
"C03xP19N333","P19N333","278172443","12","Turkey_Hill","121",35125
"C04xL19N019b","L19N019b",NA,"6","Unit_4","84",26277
"C04xP19N077","P19N077","278172156","SY","Unit_2","70",734
"C04xP19N284","P19N284","281128737","15","Unit_2","39",21158
"C04xP19N361","P19N361","278172452","12","Unit_4","78",31768
"C04xP19N470","P19N470","281128444","15","Unit_2","54",14604
"C05xP19N090","P19N090","278172224","SY","Unit_1","47",7840
"C05xP19N291","P19N291","281128803","12","Unit_1","81",175
"C05xP19N376","P19N376","278172462","12","Unit_4","87",25854
"C05xP19N413","P19N413","281128509","15","Unit_2","3",12774
"C05xP19N477","P19N477","281128533","15","Unit_2","99",43
"C06xP19N097","P19N097","156181153","SY","Unit_2","57",15447
"C06xP19N225","P19N225","278172257","12","Unit_1","306",28999
"C06xP19N395","P19N395","278172476","12","Unit_4","18",34871
"C06xP19N488","P19N488","281128768","15","Unit_2","34",52
"C07xP19N108","P19N108","278172154","SY","Unit_2","75",35654
"C07xP19N232","P19N232","278172264","12","Unit_1","421",158
"C07xP19N338","P19N338","281128812","12","Unit_2","75",1251
"C07xP19N421","P19N421","278172480","12","Unit_4","12",33327
"C07xP19N515","P19N515","281128780","15","Unit_2","50",59033
"C08xP19N240","P19N240","281128722","15","Unit_2","103",24383
"C08xP19N349","P19N349","281128507","12","Unit_2","3",302
"C08xP19N448","P19N448","278172487","12","Turkey_Hill","97",13383
"C09xL19N018a","L19N018a",NA,"6","Unit_4","61",392
"C09xP19N040","P19N040","272107599","ASY","Unit_4","80",21151
"C09xP19N249","P19N249","281128738","12","Unit_2","39",62604
"C10xL19N005c","L19N005c",NA,"6","Unit_4","94",2228
"C10xP19N018","P19N018","272107284","SY","Unit_2","19",18192
"C10xP19N087","P19N087","278172409","ASY","Unit_4","7",2970
"C10xP19N308","P19N308","278171896","ASY","Unit_2","78",9383
"C10xP19N388","P19N388","281128758","12","Unit_2","105",8068
"C10xP19N493","P19N493","278172293","15","Unit_2","72",63
"C11xL19N007b","L19N007b",NA,"6","Turkey_Hill","106",62
"C11xP19N031","P19N031","262125490","ASY","Unit_1","311",53
"C11xP19N049","P19N049","212110294","ASY","Unit_1","90",124
"C11xP19N316","P19N316","272106986","AHY","Unit_2","9",7199
"C11xP19N324","P19N324","272107290","ASY","Turkey_Hill","97",35064
"C11xP19N429","P19N429","281128681","12","Unit_1","86",131
"C12xP19N038","P19N038","278172147","ASY","Unit_2","101",70691
"C12xP19N339","P19N339","240151291","AHY","Unit_1","302",2942
"C1xP19N130","P19N130","281128708","AHY","Unit_1","306",2702
"C2xP19N141","P19N141","278172199","AHY","Unit_2","101",127
"C2xP19N484","P19N484","272106914","AHY","Unit_2","37",15324
"C3xP19N148","P19N148","272107217","ASY","Unit_2","116",282
"C4xP19N157","P19N157","262125449","AHY","Unit_1","105",2763
"C5xP19N165","P19N165","263113914","AHY","Unit_1","423",8492
"C6xP19N182","P19N182","278172162","SY","Unit_2","34",49932
"C7xP19N198","P19N198","272106974","AHY","Unit_2","82",7717
"C8xP19N211","P19N211","278172239","AHY","Unit_1","427",12742
